,Deaths,Date,Incident
390,289,28 October 1995,Baku Metro fire
391,285,2 August 1999,Gaisal train disaster
392,281,24 June 2002,Igandu train disaster
393,278,22 December 1939,Genthin rail disaster
394,248,14 March 1926,El Virilla train accident[133]
395,230,23 December 1933,Lagny-Pomponne Railroad Disaster
396,226,22 May 1915,Quintinshill rail crash
397,212,26 November 1998,Khanna rail disaster
398,208,4 October 1972,"Saltillo, Coahuila"
399,207,28 July 1948,BASF tank car explosion [de]
400,160200,17 March 1982,Bau Ca train wreck [vi]
401,230,2 July 2010,Sange road tanker explosion[134]
402,219,25 June 2017,Bahawalpur explosion[135]
403,217,11 July 1978,Los Alfaques disaster[136]
404,207,15 February 1991,Thung Maphrao truck explosion[137]
405,206,17 September 2015,2015 Juba tanker explosion [21]
406,1683000,3 November 1982,Salang Tunnel fire[136][138]
407,154,5 November 2021,Freetown fuel tanker explosion
408,125,6 December 1965,Sotouba truck collision[136]
409,121,12 July 2012,Okobie road tanker explosion[139]
410,115,17 November 2016,Caphiridzange tanker explosion [140]
411,113,31 January 2009,Molo road tanker fire
412,110,12 March 1995,Tamil Nadu truck collision[141]
413,104,18 August 1968,Gero bus crash[136]
414,100200,5 November 2000,Ibadan road tanker explosion[142]
415,100,10 August 2019,Morogoro fuel tanker explosion[143]
416,98,28 March 2007,Kagarko truck explosion
417,96,12 July 1992,Machakos bus crash[144]
418,94,8 June 1999,Karnataka bus crash[145]
419,90,15 November 1976,Mafeteng bus crash
420,90,29 June 1980,Kashmir bus crash[136]
421,90,24 June 2004,Zahedan bus crash[146]
422,90,14 December 2021,Cap-Haïtien tanker explosion[147]
423,81115,6 January 1967,Cavite bus crash[148]
424,54300,24 October 1960,"Nedelin catastrophe, Baikonur Cosmodrome, Kazakh SSR, Soviet Union - occurred on ground before launch"
425,48,18 March 1980,"1980 Plesetsk launch pad disaster, Plesetsk Cosmodrome, Mirny, Arkhangelsk Oblast, Soviet Union - occurred on ground before launch"
426,21,22 August 2003,"2003 Alcântara VLS accident, Alcântara, Brazil –  occurred on ground before launch"
427,7,28 January 1986,"Space Shuttle Challenger disaster, crashed over Florida, U.S."
428,7,1 February 2003,"Space Shuttle Columbia disaster, crashed over Texas and Louisiana, U.S."
429,6,15 February 1996,"Intelsat 708, Xichang Satellite Launch Center, Sichuan, China, Launch vehicle veered off course immediately after liftoff and struck a nearby village, officially killing at least six people (although other estimates put the death count higher)."
430,3,27 January 1967,"Apollo 1, Cape Canaveral Air Force Station, Cape Canaveral, FL, U.S. –  occurred on ground during a ""plugs out"" test."
431,3,30 June 1971,"Soyuz 11, depressurized in space; only deaths in space as of 2024"
432,1,24 April 1967,"Soyuz 1, southeast of Orenburg, Russia"
433,1,15 November 1967,"X-15 Flight 191, near Edwards AFB, California, U.S."
434,1,31 October 2014,"VSS Enterprise crash, suborbital, Mojave Desert, California, U.S."
435,12000,5–9 December 1952,"The Great Smog of London (5–9 December 1952). Delayed fatalities rise from 10,000 to 12,000.[149]"
436,2200,1880,"Coal smog (London, 1880).[150]"
437,1000,December 1956,1956 London smog.[151]
438,780,December 1873,1873 London smog[152]
439,779,December 1892,1892 London smog[153]
440,700800,December 1948,1948 London smog[153]
441,300405,January–February 1963,1963 New York City smog
442,300400,December 1962,1962 London smog[151]
443,220240,November 1953,1953 New York City smog
444,168,23–25 November 1966,1966 New York City smog
445,160,12–15 December 1991,"Smog (London, 12–15 December 1991)[154]"
